"export","feature","check_method","against","tolerance_class","state","fixture_path","sha256"
"aci","ACI metric with its signal and dispersion parts, scalar hidden variable","authors_source_comparison","ACI_code dyad_interaction_model.m stored outputs, through the compiled kernels aci() dispatches to (tests/testthat/test-19-compiled-oracles.R)","numerical_1e-6","checked","tests/testthat/fixtures/oracles/dyad_reference.csv","6e7cebd1ccf5b0ac99e9e4ca78f3772c978c0706ae60e976650ae1350cc80090"
"aci","ACI metric on the scalar-hidden ENSO partitions, five observed channels","source_derived_comparison","aci 0.0.30 realised coefficients and recursions, reproduced by aciR 0.2.3 on the identical coefficient arrays to 2.11e-15 (tests/testthat/test-28-partition-oracles.R)","numerical_1e-8","checked","tests/testthat/fixtures/oracles/enso6_partition_u_reference.csv","b9edd221b9f7d42617df902d00506ea3db621d5f59d9a2dc4a80228a0ef41f3b"
"aci","ACI metric on the T_C zeroth-order approximation, whole record","independent_transcription","an R transcription of ACI_code ENSO_model_cond_ACI_T_C_unobs.m (tests/testthat/test-29-tc-zeroth-order.R)","machine_1e-12","checked","tests/testthat/fixtures/oracles/tc_outputs_caseA_intended.csv","a4ab328779fb89ca3b8cc95643ae9fda94aa824311ddb09adeacee624442059a"
"aci","retention mode never moves the headline metric","exact_relation","keep = paths, table and none agree at tolerance 0 (tests/testthat/test-03-engine.R)","exact","behavioural_only","",""
"aci_filter","closed-form CGNS filter, scalar hidden, state-dependent coupling","authors_source_comparison","ACI_code dyad_interaction_model.m stored outputs (tests/testthat/test-19-compiled-oracles.R)","numerical_1e-6","checked","tests/testthat/fixtures/oracles/dyad_reference.csv","6e7cebd1ccf5b0ac99e9e4ca78f3772c978c0706ae60e976650ae1350cc80090"
"aci_filter","filter with a time-varying latent self-drift, both causal directions","authors_source_comparison","ACI_code noisy_predator_prey_model.m stored outputs (tests/testthat/test-19-compiled-oracles.R)","numerical_1e-6","checked","tests/testthat/fixtures/oracles/predprey_reference_predator_to_prey.csv","734400af4096ecf7462e767f2e3e588a88472332c9a90f503a0a8cf64ff4ded3"
"aci_filter","matrix filter with a non-zero noise cross-covariance","independent_transcription","an independent MATLAB transcription of the general matrix equations; no upstream counterpart exists (tests/testthat/test-19-compiled-oracles.R)","numerical_1e-6","checked","tests/testthat/fixtures/oracles/mv_reference.csv","d7ce590ffdb29defd2261bf126e46d6be541c0143cfdd20fe31b631beeac3cd4"
"aci_filter","filter on the scalar-hidden ENSO partitions, k = 5, l = 1, unconditional observation","source_derived_comparison","aci 0.0.30 realised coefficients and recursions, reproduced by aciR 0.2.3 on the identical coefficient arrays to 2.11e-15 (tests/testthat/test-28-partition-oracles.R)","numerical_1e-8","checked","tests/testthat/fixtures/oracles/enso6_partition_hW_reference.csv","a8ddd723525ccce7462968924ab811fce85b8673f2e1764439d45dbc463b8919"
"aci_filter","filter on the T_C zeroth-order approximation","independent_transcription","an R transcription of ACI_code ENSO_model_cond_ACI_T_C_unobs.m (tests/testthat/test-29-tc-zeroth-order.R)","machine_1e-12","checked","tests/testthat/fixtures/oracles/tc_outputs_caseB_window_head_intended.csv","9709a23e70b9b3ad3b624d83b187e2e94e9322e148c67ab1b48a13a3d6ef94a2"
"aci_smoother","backward smoother, scalar hidden, state-dependent coupling","authors_source_comparison","ACI_code dyad_interaction_model.m stored outputs (tests/testthat/test-19-compiled-oracles.R)","numerical_1e-6","checked","tests/testthat/fixtures/oracles/dyad_reference.csv","6e7cebd1ccf5b0ac99e9e4ca78f3772c978c0706ae60e976650ae1350cc80090"
